word,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12
But,0.995,0.971,0.94,0.897,0.899,0.896,0.891,0.881,0.882,0.867,0.847,0.878,0.887
other,0.929,0.9,0.83,0.758,0.722,0.714,0.687,0.636,0.586,0.594,0.637,0.726,0.627
sources,0.938,0.898,0.824,0.787,0.752,0.735,0.694,0.651,0.633,0.685,0.735,0.817,0.729
close,0.961,0.913,0.834,0.754,0.723,0.686,0.658,0.635,0.625,0.663,0.702,0.788,0.694
to,0.905,0.879,0.794,0.709,0.695,0.707,0.651,0.561,0.503,0.538,0.595,0.696,0.592
the,0.886,0.866,0.819,0.76,0.744,0.754,0.724,0.609,0.573,0.623,0.658,0.735,0.597
sale,0.956,0.935,0.921,0.88,0.859,0.847,0.843,0.84,0.844,0.863,0.889,0.923,0.884
said,0.919,0.877,0.843,0.781,0.765,0.756,0.737,0.705,0.686,0.731,0.774,0.839,0.758
V,0.931,0.909,0.864,0.8,0.792,0.774,0.72,0.679,0.634,0.642,0.677,0.742,0.552
##ive,0.962,0.926,0.838,0.774,0.733,0.69,0.651,0.622,0.591,0.635,0.679,0.772,0.654
was,0.914,0.862,0.811,0.741,0.739,0.748,0.74,0.675,0.631,0.678,0.713,0.79,0.688
keeping,0.948,0.929,0.881,0.838,0.816,0.78,0.77,0.738,0.706,0.721,0.734,0.821,0.711
door,0.935,0.919,0.9,0.881,0.863,0.826,0.798,0.784,0.775,0.787,0.807,0.856,0.791
open,0.953,0.9,0.822,0.756,0.744,0.723,0.705,0.69,0.666,0.703,0.746,0.821,0.727
further,0.946,0.919,0.854,0.804,0.783,0.763,0.743,0.71,0.671,0.683,0.717,0.789,0.664
and,0.898,0.873,0.811,0.729,0.702,0.688,0.649,0.564,0.53,0.577,0.626,0.734,0.653
see,0.94,0.915,0.843,0.775,0.752,0.728,0.674,0.635,0.606,0.629,0.659,0.757,0.652
bid,0.964,0.902,0.794,0.704,0.628,0.599,0.588,0.546,0.539,0.58,0.639,0.748,0.602
interested,0.937,0.917,0.867,0.797,0.764,0.731,0.726,0.687,0.658,0.691,0.736,0.822,0.732
in,0.913,0.88,0.811,0.737,0.719,0.734,0.687,0.585,0.535,0.572,0.63,0.726,0.623
individual,0.93,0.911,0.879,0.848,0.821,0.809,0.816,0.799,0.795,0.813,0.841,0.881,0.814
assets,0.938,0.902,0.857,0.824,0.792,0.773,0.744,0.706,0.706,0.741,0.779,0.849,0.775
team,0.939,0.879,0.819,0.772,0.719,0.703,0.688,0.672,0.667,0.707,0.75,0.816,0.711
up,0.937,0.903,0.822,0.737,0.698,0.68,0.614,0.554,0.515,0.549,0.603,0.703,0.594
for,0.915,0.884,0.818,0.749,0.736,0.728,0.659,0.565,0.514,0.539,0.585,0.69,0.593
next,0.954,0.913,0.839,0.738,0.704,0.689,0.675,0.634,0.623,0.665,0.71,0.794,0.694
day,0.943,0.906,0.816,0.746,0.719,0.694,0.645,0.619,0.614,0.649,0.695,0.782,0.68
or,0.931,0.905,0.859,0.8,0.758,0.733,0.695,0.614,0.618,0.655,0.69,0.77,0.697
two,0.929,0.895,0.838,0.786,0.766,0.762,0.732,0.682,0.665,0.674,0.699,0.777,0.673
##n,0.935,0.913,0.848,0.759,0.72,0.663,0.607,0.555,0.529,0.57,0.623,0.719,0.607
has,0.925,0.889,0.831,0.76,0.744,0.761,0.753,0.704,0.684,0.717,0.748,0.815,0.72
declared,0.95,0.881,0.797,0.742,0.746,0.743,0.727,0.683,0.656,0.685,0.722,0.806,0.68
its,0.918,0.896,0.835,0.79,0.77,0.759,0.746,0.669,0.648,0.665,0.69,0.766,0.667
first,0.932,0.906,0.835,0.742,0.696,0.681,0.621,0.588,0.572,0.596,0.634,0.73,0.625
profit,0.952,0.921,0.888,0.842,0.807,0.8,0.769,0.771,0.765,0.786,0.81,0.872,0.807
three,0.925,0.891,0.834,0.779,0.763,0.766,0.735,0.689,0.665,0.678,0.719,0.798,0.702
years,0.939,0.904,0.825,0.764,0.744,0.719,0.698,0.687,0.677,0.689,0.704,0.777,0.687
s,0.929,0.876,0.758,0.648,0.635,0.643,0.618,0.545,0.508,0.562,0.616,0.71,0.593
numbers,0.941,0.905,0.846,0.796,0.788,0.779,0.775,0.772,0.759,0.776,0.804,0.866,0.784
also,0.925,0.899,0.847,0.822,0.806,0.811,0.799,0.782,0.752,0.747,0.734,0.79,0.68
The,0.981,0.939,0.9,0.845,0.831,0.83,0.813,0.753,0.714,0.721,0.737,0.794,0.791
are,0.936,0.891,0.842,0.791,0.774,0.784,0.769,0.727,0.699,0.732,0.756,0.818,0.726
part,0.939,0.909,0.835,0.759,0.703,0.669,0.592,0.536,0.503,0.524,0.586,0.689,0.566
of,0.898,0.883,0.841,0.736,0.717,0.708,0.649,0.536,0.488,0.54,0.596,0.692,0.603
failed,0.956,0.927,0.877,0.808,0.751,0.75,0.752,0.713,0.701,0.733,0.76,0.827,0.742
Republican,0.942,0.92,0.903,0.873,0.855,0.831,0.81,0.806,0.81,0.829,0.852,0.889,0.821
efforts,0.941,0.921,0.89,0.857,0.837,0.846,0.826,0.801,0.79,0.8,0.825,0.877,0.805
force,0.945,0.899,0.822,0.749,0.688,0.66,0.622,0.586,0.577,0.622,0.662,0.75,0.635
en,0.938,0.923,0.865,0.822,0.809,0.78,0.744,0.71,0.675,0.696,0.725,0.792,0.697
##tic,0.96,0.935,0.877,0.822,0.772,0.735,0.706,0.678,0.663,0.693,0.721,0.79,0.692
##e,0.939,0.913,0.871,0.801,0.771,0.702,0.643,0.598,0.571,0.608,0.657,0.752,0.639
Democrats,0.952,0.911,0.873,0.839,0.813,0.798,0.788,0.786,0.789,0.815,0.837,0.875,0.76
return,0.938,0.897,0.847,0.777,0.746,0.726,0.683,0.642,0.626,0.663,0.693,0.768,0.629
Perry,0.932,0.919,0.895,0.877,0.84,0.834,0.837,0.823,0.803,0.814,0.841,0.873,0.66
he,0.912,0.868,0.841,0.789,0.779,0.764,0.746,0.706,0.696,0.722,0.75,0.821,0.711
backs,0.975,0.898,0.821,0.761,0.735,0.726,0.696,0.65,0.625,0.658,0.693,0.773,0.665
Senate,0.947,0.916,0.892,0.867,0.832,0.808,0.798,0.794,0.781,0.795,0.815,0.867,0.799
including,0.918,0.901,0.883,0.852,0.828,0.819,0.811,0.746,0.7,0.712,0.724,0.794,0.698
American,0.923,0.892,0.848,0.793,0.769,0.749,0.755,0.746,0.744,0.775,0.804,0.86,0.757
Council,0.958,0.925,0.874,0.844,0.802,0.798,0.784,0.773,0.772,0.799,0.826,0.873,0.808
which,0.923,0.906,0.86,0.8,0.753,0.75,0.706,0.634,0.587,0.612,0.657,0.749,0.658
represents,0.962,0.914,0.873,0.819,0.799,0.803,0.798,0.754,0.739,0.76,0.785,0.848,0.773
