word,layer_1,layer_2
But,0.198,0.212
other,0.193,0.15
sources,0.353,0.405
close,0.337,0.401
to,0.12,0.113
the,0.078,0.081
sale,0.432,0.397
said,0.232,0.166
was,0.102,0.09
keeping,0.437,0.449
door,0.36,0.319
open,0.218,0.223
further,0.287,0.244
and,0.138,0.109
see,0.18,0.15
interested,0.382,0.452
in,0.095,0.093
individual,0.337,0.345
assets,0.485,0.536
team,0.186,0.171
up,0.129,0.141
for,0.07,0.052
next,0.395,0.317
day,0.136,0.101
or,0.153,0.138
two,0.093,0.093
has,0.103,0.094
declared,0.259,0.243
its,0.146,0.114
first,0.143,0.119
profit,0.168,0.178
three,0.136,0.095
years,0.196,0.175
's,0.142,0.099
numbers,0.269,0.24
also,0.133,0.132
The,0.16,0.12
are,0.098,0.113
part,0.176,0.155
of,0.068,0.061
failed,0.392,0.381
Republican,0.263,0.263
efforts,0.233,0.212
force,0.151,0.158
Democrats,0.243,0.254
return,0.257,0.23
Perry,0.877,0.889
he,0.129,0.091
backs,0.349,0.278
Senate,0.247,0.262
including,0.135,0.114
American,0.176,0.17
Council,0.298,0.257
which,0.231,0.156
represents,0.638,0.535
conservatives,0.493,0.452
it,0.192,0.231
will,0.093,0.098
seek,0.271,0.205
create,0.172,0.136
a,0.088,0.096
separate,0.354,0.343
group,0.393,0.306
province,0.668,0.685
North,0.221,0.224
America,0.215,0.19
because,0.257,0.148
last,0.25,0.181
week,0.142,0.096
actions,0.214,0.214
tech,0.585,0.533
Nasdaq,0.528,0.467
composite,0.535,0.499
rose,0.274,0.279
points,0.298,0.286
ending,0.49,0.439
at,0.149,0.114
highest,0.395,0.382
level,0.184,0.167
12,0.17,0.155
months,0.25,0.185
technology,0.379,0.406
laced,0.407,0.359
Composite,0.37,0.293
Index,0.405,0.381
<,0.372,0.312
.IXIC,0.829,0.599
>,0.414,0.354
climbed,0.467,0.386
1.2,0.525,0.425
percent,0.35,0.25
shares,0.342,0.342
gained,0.336,0.35
cents,0.363,0.366
$,0.244,0.248
afternoon,0.458,0.472
trading,0.26,0.257
on,0.151,0.138
Shares,0.505,0.413
were,0.125,0.102
14,0.337,0.31
late,0.211,0.22
New,0.235,0.243
York,0.323,0.306
Stock,0.403,0.333
Exchange,0.321,0.285
U.S.,0.109,0.113
prosecutors,0.313,0.325
have,0.107,0.073
arrested,0.159,0.156
more,0.114,0.086
than,0.293,0.206
individuals,0.273,0.297
seized,0.371,0.322
17,0.25,0.205
million,0.195,0.16
continuing,0.481,0.446
crackdown,0.346,0.362
Internet,0.245,0.223
fraud,0.216,0.22
abuse,0.318,0.306
More,0.312,0.27
people,0.152,0.162
been,0.116,0.087
worth,0.346,0.293
property,0.319,0.272
an,0.089,0.089
announced,0.358,0.291
Friday,0.197,0.171
by,0.145,0.102
government,0.118,0.094
agencies,0.33,0.366
Chavez,0.334,0.337
investigators,0.459,0.454
feel,0.181,0.221
confident,0.371,0.351
they,0.152,0.101
've,0.121,0.108
got,0.122,0.117
least,0.283,0.234
one,0.135,0.098
fires,0.323,0.317
resolved,0.608,0.549
that,0.22,0.136
regard,0.439,0.395
Mayor,0.45,0.409
Martin,0.311,0.279
felt,0.277,0.317
with,0.152,0.125
arrests,0.429,0.408
had,0.107,0.086
properly,0.43,0.419
himself,0.282,0.288
home,0.16,0.142
after,0.113,0.093
developed,0.274,0.254
SARS,0.4,0.394
Dec.,0.327,0.393
10,0.143,0.128
as,0.111,0.058
soon,0.483,0.35
officials,0.169,0.12
support,0.203,0.206
come,0.202,0.205
free,0.206,0.164
software,0.264,0.239
called,0.348,0.222
current,0.273,0.208
customers,0.294,0.304
be,0.095,0.069
available,0.394,0.315
January,0.33,0.346
2004,0.492,0.446
man,0.164,0.149
accused,0.26,0.2
using,0.149,0.164
fake,0.63,0.599
plane,0.225,0.218
West,0.217,0.192
April,0.268,0.259
sentenced,0.274,0.243
20,0.165,0.152
prison,0.233,0.195
A,0.261,0.261
passenger,0.323,0.257
from,0.089,0.072
Cuba,0.278,0.282
Florida,0.206,0.197
Jim,0.407,0.336
Williams,0.601,0.537
