word,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12
But,0.92,0.938,0.958,0.971,0.967,0.971,0.972,0.975,0.974,0.975,0.974,0.974,0.986
other,0.609,0.716,0.652,0.621,0.582,0.57,0.551,0.555,0.574,0.597,0.645,0.785,0.957
sources,0.622,0.705,0.638,0.598,0.56,0.539,0.527,0.518,0.537,0.545,0.579,0.743,0.969
close,0.63,0.711,0.637,0.619,0.57,0.572,0.563,0.571,0.591,0.632,0.679,0.819,0.978
to,0.63,0.72,0.652,0.628,0.59,0.576,0.556,0.559,0.573,0.596,0.641,0.78,0.978
the,0.574,0.615,0.535,0.574,0.552,0.546,0.533,0.542,0.555,0.569,0.605,0.71,0.97
sale,0.637,0.707,0.661,0.644,0.603,0.58,0.547,0.546,0.556,0.567,0.618,0.759,0.989
said,0.599,0.719,0.654,0.627,0.586,0.566,0.542,0.541,0.552,0.573,0.619,0.771,0.954
was,0.624,0.732,0.661,0.634,0.593,0.579,0.566,0.572,0.589,0.612,0.658,0.8,0.978
keeping,0.607,0.695,0.654,0.628,0.615,0.594,0.603,0.628,0.685,0.685,0.699,0.835,0.99
door,0.575,0.691,0.643,0.625,0.593,0.581,0.553,0.556,0.578,0.586,0.629,0.768,0.959
open,0.662,0.751,0.68,0.651,0.612,0.602,0.593,0.603,0.623,0.651,0.695,0.829,0.981
further,0.594,0.676,0.618,0.617,0.586,0.575,0.554,0.553,0.564,0.574,0.605,0.738,0.975
and,0.615,0.72,0.657,0.633,0.596,0.584,0.567,0.574,0.587,0.606,0.652,0.789,0.976
see,0.629,0.726,0.658,0.637,0.591,0.58,0.561,0.567,0.577,0.599,0.652,0.786,0.984
interested,0.606,0.731,0.669,0.631,0.599,0.584,0.568,0.577,0.592,0.605,0.665,0.81,0.979
in,0.632,0.724,0.657,0.629,0.592,0.579,0.562,0.567,0.582,0.602,0.649,0.791,0.975
individual,0.585,0.642,0.57,0.538,0.518,0.519,0.506,0.513,0.538,0.577,0.611,0.762,0.981
assets,0.599,0.727,0.669,0.641,0.613,0.593,0.557,0.564,0.561,0.536,0.577,0.73,0.989
team,0.616,0.714,0.654,0.627,0.589,0.586,0.578,0.584,0.587,0.606,0.648,0.792,0.975
up,0.638,0.737,0.67,0.638,0.599,0.585,0.568,0.578,0.596,0.618,0.665,0.809,0.983
for,0.619,0.711,0.644,0.618,0.581,0.563,0.541,0.543,0.557,0.58,0.629,0.776,0.971
next,0.654,0.748,0.679,0.65,0.608,0.597,0.577,0.583,0.596,0.615,0.665,0.806,0.979
day,0.635,0.725,0.653,0.616,0.575,0.558,0.533,0.528,0.542,0.561,0.608,0.755,0.978
or,0.645,0.741,0.673,0.644,0.608,0.599,0.585,0.59,0.612,0.637,0.683,0.819,0.983
two,0.601,0.669,0.593,0.598,0.567,0.561,0.549,0.561,0.578,0.601,0.641,0.763,0.977
has,0.624,0.726,0.656,0.632,0.594,0.583,0.571,0.579,0.596,0.62,0.666,0.802,0.978
declared,0.611,0.717,0.662,0.648,0.611,0.597,0.582,0.56,0.561,0.566,0.612,0.74,0.983
its,0.623,0.713,0.649,0.631,0.598,0.583,0.561,0.566,0.584,0.6,0.644,0.774,0.983
first,0.623,0.719,0.652,0.622,0.584,0.57,0.547,0.549,0.558,0.582,0.629,0.774,0.98
profit,0.646,0.745,0.686,0.647,0.606,0.577,0.541,0.524,0.519,0.532,0.577,0.752,0.979
